,ticker,name_en,category,sub_category,name_cn
196,206,TSC GROUP,Equity,Equity Securities (Main Board),ＴＳＣ集團
197,207,JOY CITY PPT,Equity,Equity Securities (Main Board),大悅城地產
198,208,POLYTEC ASSET,Equity,Equity Securities (Main Board),保利達資產
199,209,WINSHINE SCI,Equity,Equity Securities (Main Board),瀛晟科學
200,210,DAPHNE INT'L,Equity,Equity Securities (Main Board),達芙妮國際
201,211,STYLAND HOLD,Equity,Equity Securities (Main Board),STYLAND HOLD
202,212,NANYANG HOLD,Equity,Equity Securities (Main Board),NANYANG HOLD
203,213,NATIONAL ELEC H,Equity,Equity Securities (Main Board),NATIONAL ELEC H
204,214,ASIA ORIENT,Equity,Equity Securities (Main Board),匯漢控股
205,215,HUTCHTEL HK,Equity,Equity Securities (Main Board),和記電訊香港
206,216,CHINNEY INV,Equity,Equity Securities (Main Board),建業實業
207,217,CHINA CHENGTONG,Equity,Equity Securities (Main Board),中國誠通發展集團
208,218,SHENWANHONGYUAN,Equity,Equity Securities (Main Board),申萬宏源
209,219,SHUNHO PROPERTY,Equity,Equity Securities (Main Board),順豪物業
210,220,U-PRESID CHINA,Equity,Equity Securities (Main Board),統一企業中國
211,221,EASY ONE FIN,Equity,Equity Securities (Main Board),易易壹金融
212,222,MIN XIN HOLD,Equity,Equity Securities (Main Board),閩信集團
213,223,ELIFE HLDGS,Equity,Equity Securities (Main Board),易生活控股
214,224,PIONEER GLOBAL,Equity,Equity Securities (Main Board),建生國際
215,225,POKFULAM,Equity,Equity Securities (Main Board),博富臨置業
216,226,LIPPO,Equity,Equity Securities (Main Board),力寶
217,227,FIRST SHANGHAI,Equity,Equity Securities (Main Board),第一上海
218,228,CHINA ENERGY,Equity,Equity Securities (Main Board),中能控股
219,229,RAYMOND IND,Equity,Equity Securities (Main Board),利民實業
220,230,MINMETALS LAND,Equity,Equity Securities (Main Board),五礦地產
221,231,PING AN SEC GP,Equity,Equity Securities (Main Board),平安證券集團控股
222,232,AVIC INT'L,Equity,Equity Securities (Main Board),中國航空工業國際
223,233,MY MEDICARE,Equity,Equity Securities (Main Board),銘源醫療
224,234,NEW CENTURY GP,Equity,Equity Securities (Main Board),新世紀集團
225,235,CHINA STRATEGIC,Equity,Equity Securities (Main Board),中策集團
226,236,SAN MIGUEL HK,Equity,Equity Securities (Main Board),香港生力啤
227,237,SAFETY GODOWN,Equity,Equity Securities (Main Board),安全貨倉
228,238,EVERGREEN INT,Equity,Equity Securities (Main Board),長興國際
229,239,PAK FAH YEOW,Equity,Equity Securities (Main Board),白花油
230,240,BUILD KING HOLD,Equity,Equity Securities (Main Board),利基控股
231,241,ALI HEALTH,Equity,Equity Securities (Main Board),阿里健康
232,242,SHUN TAK HOLD,Equity,Equity Securities (Main Board),信德集團
233,243,QPL INT'L,Equity,Equity Securities (Main Board),QPL INT'L
234,244,SINCERE,Equity,Equity Securities (Main Board),先施
235,245,CN MINSHENG FIN,Equity,Equity Securities (Main Board),中國民生金融
236,246,REALGOLD MINING,Equity,Equity Securities (Main Board),瑞金礦業
237,247,TST PROPERTIES,Equity,Equity Securities (Main Board),TST PROPERTIES
238,248,HKC INT'L HOLD,Equity,Equity Securities (Main Board),香港通訊國際控股
239,250,SINO-I TECH,Equity,Equity Securities (Main Board),中國數碼信息
240,251,SEA HOLDINGS,Equity,Equity Securities (Main Board),爪哇控股
241,252,SE ASIA PPT,Equity,Equity Securities (Main Board),華信地產財務
242,253,SHUNHO HOLDINGS,Equity,Equity Securities (Main Board),順豪控股
243,254,NUR HOLDINGS,Equity,Equity Securities (Main Board),國家聯合資源
244,255,LUNG KEE,Equity,Equity Securities (Main Board),龍記集團
245,256,CITYCHAMP,Equity,Equity Securities (Main Board),冠城鐘錶珠寶
246,257,CHINA EB INT'L,Equity,Equity Securities (Main Board),中國光大國際
247,258,TOMSON GROUP,Equity,Equity Securities (Main Board),湯臣集團
248,259,YEEBO (INT'L H),Equity,Equity Securities (Main Board),億都（國際控股）
249,260,AVIC JOY HLDG,Equity,Equity Securities (Main Board),幸福控股
250,261,CCT LAND,Equity,Equity Securities (Main Board),中建置地
251,262,DESON DEV INT'L,Equity,Equity Securities (Main Board),迪臣發展國際
252,263,GT GROUP HLDG,Equity,Equity Securities (Main Board),高富集團控股
253,264,ASCENT INT'L,Equity,Equity Securities (Main Board),中璽國際
254,265,ORIENT VICTORY,Equity,Equity Securities (Main Board),東勝旅遊
255,266,TIAN TECK LAND,Equity,Equity Securities (Main Board),天德地產
256,267,CITIC,Equity,Equity Securities (Main Board),中信股份
257,268,KINGDEE INT'L,Equity,Equity Securities (Main Board),金蝶國際
258,269,CRTG,Equity,Equity Securities (Main Board),中國資源交通
259,270,GUANGDONG INV,Equity,Equity Securities (Main Board),粵海投資
260,271,ASIASEC PPT,Equity,Equity Securities (Main Board),亞證地產
261,272,SHUI ON LAND,Equity,Equity Securities (Main Board),瑞安房地產
262,273,MASON GP HOLD,Equity,Equity Securities (Main Board),茂宸集團
263,274,C BILLION RES,Equity,Equity Securities (Main Board),中富資源
264,275,MASTER GLORY GP,Equity,Equity Securities (Main Board),凱華集團
265,276,MONGOLIA ENERGY,Equity,Equity Securities (Main Board),蒙古能源
266,277,TERN PROPERTIES,Equity,Equity Securities (Main Board),太興置業
267,278,WAH HA REALTY,Equity,Equity Securities (Main Board),華廈置業
268,279,FREEMAN FINTECH,Equity,Equity Securities (Main Board),民眾金融科技
269,280,KING FOOK HOLD,Equity,Equity Securities (Main Board),景福集團
270,281,RIVERA (HOLD),Equity,Equity Securities (Main Board),川河集團
271,282,NEXT DIGITAL,Equity,Equity Securities (Main Board),壹傳媒
272,285,BYD ELECTRONIC,Equity,Equity Securities (Main Board),比亞迪電子
273,286,CS HEALTH,Equity,Equity Securities (Main Board),同佳健康
274,287,WINFAIR INV,Equity,Equity Securities (Main Board),永發置業
275,288,WH GROUP,Equity,Equity Securities (Main Board),萬洲國際
276,289,WING ON CO,Equity,Equity Securities (Main Board),WING ON CO
277,290,C FORTUNE FIN,Equity,Equity Securities (Main Board),中國富強金融
278,291,CHINA RES BEER,Equity,Equity Securities (Main Board),華潤啤酒
279,292,ASIA STD HOTEL,Equity,Equity Securities (Main Board),泛海酒店
280,293,CATHAY PAC AIR,Equity,Equity Securities (Main Board),國泰航空
281,294,YANGTZEKIANG,Equity,Equity Securities (Main Board),長江製衣
282,295,KONG SUN HOLD,Equity,Equity Securities (Main Board),江山控股
283,296,EMPEROR E HOTEL,Equity,Equity Securities (Main Board),英皇娛樂酒店
284,297,SINOFERT,Equity,Equity Securities (Main Board),中化化肥
285,298,CHUANG'S CHINA,Equity,Equity Securities (Main Board),莊士中國
286,299,NEW SPORTS,Equity,Equity Securities (Main Board),新體育
287,300,KUNMING MACHINE,Equity,Equity Securities (Main Board),昆明機床
288,303,VTECH HOLDINGS,Equity,Equity Securities (Main Board),VTECH HOLDINGS
289,305,WULING MOTORS,Equity,Equity Securities (Main Board),五菱汽車
290,306,KWOON CHUNG BUS,Equity,Equity Securities (Main Board),冠忠巴士集團
291,307,UP ENERGY DEV,Equity,Equity Securities (Main Board),優派能源發展
292,308,CHINA TRAVEL HK,Equity,Equity Securities (Main Board),香港中旅
293,309,XH NEWS MEDIA,Equity,Equity Securities (Main Board),新華通訊頻媒
294,310,PROSP INV HOLD,Equity,Investment Companies,嘉進投資國際
295,311,LUEN THAI,Equity,Equity Securities (Main Board),聯泰控股
296,312,SHIRBLE STORE,Equity,Equity Securities (Main Board),歲寶百貨
297,313,RICHLY FIELD,Equity,Equity Securities (Main Board),裕田中國
298,315,SMARTONE TELE,Equity,Equity Securities (Main Board),數碼通電訊
299,316,OOIL,Equity,Equity Securities (Main Board),東方海外國際
300,317,COMEC,Equity,Equity Securities (Main Board),中船防務
301,318,VONGROUP,Equity,Equity Securities (Main Board),黃河實業
302,320,COMPUTIME,Equity,Equity Securities (Main Board),金寶通
303,321,TEXWINCA HOLD,Equity,Equity Securities (Main Board),德永佳集團
304,322,TINGYI,Equity,Equity Securities (Main Board),康師傅控股
305,323,MAANSHAN IRON,Equity,Equity Securities (Main Board),馬鞍山鋼鐵股份
306,326,CHINA STAR ENT,Equity,Equity Securities (Main Board),中國星集團
